polcod,polvar,polval,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam,wh_id_tmpl
LC_PICKING,DELIVERY_NOTE_REPORT,ENABLED,1,HL-EXPORT,,,,,,,,les_data,GBWEL01
LC_PICKING,DELIVERY_NOTE_REPORT,ENABLED,1,HL-RETAIL,,,,,,,,les_data,GBWEL01
LC_PICKING,PACKING_LIST_REPORT,ENABLED,1,HL-RETAIL,,,,,,,,les_data,GBWEL01
LC_PICKING,PACKING_LIST_REPORT,ENABLED,1,HL-RETAIL,,,,,,,,les_data,GBWEL01
LC_PICKING,LABEL_WORK_ASSIGNMENT,ENABLED,1,,,1,,,,,,les_data,GBWEL01
LC_PICKING,YAMATO_MANIFEST,ENABLED,1,JPN,,,,,,,,les_data,GBWEL01
